Target Distance:20,Step Size:2
71:(x,y) = (-24.7186,-2.41962)
72:(x,y) = (-21.7478,-2.83714)
73:(x,y) = (-18.8134,-3.46087)
74:(x,y) = (-19.3343,-6.41529)
75:(x,y) = (-21.2223,-4.08386)
76:(x,y) = (-19.1383,-1.92584)
77:(x,y) = (-16.1401,-2.03054)
78:(x,y) = (-17.6401,-4.62861)
79:(x,y) = (-14.7057,-4.00488)
80:(x,y) = (-17.3038,-5.50488)
81:(x,y) = (-19.6352,-3.61691)
82:(x,y) = (-17.9145,-1.15946)
83:(x,y) = (-16.6943,-3.9001)
84:(x,y) = (-19.0583,-5.74708)
85:(x,y) = (-20.6922,-3.23107)
86:(x,y) = (-17.7146,-3.59668)
87:(x,y) = (-20.046,-5.48464)
88:(x,y) = (-22.9149,-4.60752)
89:(x,y) = (-25.8926,-4.97313)
90:(x,y) = (-26.6183,-7.88402)
91:(x,y) = (-27.3441,-10.7949)
After 92 steps,the subject has the following location:
(x,y) = (-30.2279,-11.6218)
or
(m,a) = (32.3851,-158.97)
Average outward distance per step = 0.352011
